2024/02/07,75000,600,0.81,74600,75500,74300,16566445,1241375169523,447733691250000,5969782550
2024/02/06,74400,100,0.13,74300,74700,73300,14559254,1079406742676,444151821720000,5969782550
2024/02/05,74300,-900,-1.20,74200,74800,73500,19026021,1407991610817,443554843465000,5969782550
2024/02/02,75200,1600,2.17,74000,75200,73700,14955881,1116696087686,448927647760000,5969782550
2024/02/01,73600,900,1.24,73000,74200,72900,19881033,1460989435744,439375995680000,5969782550
2024/01/31,72700,-1600,-2.15,73400,74000,72500,15703560,1148592184077,434003191385000,5969782550
2024/01/30,74300,-100,-0.13,75000,75300,73700,12244418,910103102143,443554843465000,5969782550
2024/01/29,74400,1000,1.36,73800,75200,73500,13976521,1040949182849,444151821720000,5969782550
2024/01/26,73400,-700,-0.94,73700,74500,73300,11160062,824499022832,438182039170000,5969782550
2024/01/25,74100,100,0.14,74200,74800,73700,11737747,870261519556,442360886955000,5969782550
2024/01/24,74000,-1200,-1.60,75200,75200,73500,12860661,950729770400,441763908700000,5969782550
2024/01/23,75200,100,0.13,75700,75800,74300,14786224,1109206848800,448927647760000,5969782550
2024/01/22,75100,400,0.54,75900,76000,75000,19673375,1484936123888,448330669505000,5969782550
2024/01/19,74700,3000,4.18,73500,74700,73000,23363427,1729032665716,445942756485000,5969782550
2024/01/18,71700,700,0.99,71600,72000,70700,17853397,1274268001300,428033408835000,5969782550
2024/01/17,71000,-1600,-2.20,73100,73300,71000,22683660,1627050948220,423854561050000,5969782550
2024/01/16,72600,-1300,-1.76,73500,73700,72500,14760415,1075976773200,433406213130000,5969782550
2024/01/15,73900,800,1.09,73200,74000,73200,13212339,973180055524,441166930445000,5969782550
2024/01/12,73100,-100,-0.14,73000,74100,72800,13038939,956811865637,436391104405000,5969782550
2024/01/11,73200,-400,-0.54,72900,73600,72700,57691266,4206812650490,436988082660000,5969782550
2024/01/10,73600,-1100,-1.47,75000,75200,73200,20259529,1497565371180,439375995680000,5969782550
2024/01/09,74700,-1800,-2.35,77400,77700,74300,26019249,1971736955597,445942756485000,5969782550
2024/01/08,76500,-100,-0.13,77000,77500,76400,11088724,852681337648,456688365075000,5969782550
2024/01/05,76600,0,0.00,76700,77100,76400,11304316,866836486100,457285343330000,5969782550
2024/01/04,76600,-400,-0.52,76100,77300,76100,15324439,1173912901977,457285343330000,5969782550
2024/01/03,77000,-2600,-3.27,78500,78800,77000,21753644,1691690834824,459673256350000,5969782550
2024/01/02,79600,1100,1.40,78200,79800,78200,17142847,1356958225913,475194690980000,5969782550
2023/12/28,78500,500,0.64,77700,78500,77500,17797536,1388290767300,468627930175000,5969782550
2023/12/27,78000,1400,1.83,76700,78000,76500,20651042,1600118111700,465643038900000,5969782550
2023/12/26,76600,700,0.92,76100,76700,75700,13164909,1005443436300,457285343330000,5969782550
